Pipeline,Vocabulary_Size,OOV_Rate,Time_Seconds,Semantic_Similarity
Naive_None,15828,0.0029158192192084093,0.018941640853881836,0.9987004345160564
Regex_None,15766,0.013538499465855863,0.01358795166015625,0.9987004345160564
NLTK_None,15879,0.014640379700620664,0.22501182556152344,0.9987004345160564
Razdel_None,15824,0.0,0.1861715316772461,0.9999999999999999
Spacy_None,15830,0.022106331096595055,0.22214388847351074,0.9987224326335847
Razdel_Porter,15823,0.0019771015690997,0.5533769130706787,0.9933197573797575
Razdel_Snowball,8579,0.4661286553911965,0.9080338478088379,0.17980629838672657
Razdel_Pymorphy2,8699,0.2217589014504736,4.408634901046753,0.30638297278109605
Spacy_SpacyLemma,9266,0.21253760034174038,5.128885507583618,0.3714185296283287
