iter	Passed	Remaining
165	420	2113
166	422	2106
167	424	2100
168	425	2093
169	427	2087
170	429	2080
171	430	2074
172	432	2068
173	434	2063
174	436	2057
175	438	2050
176	439	2044
177	441	2038
178	443	2033
179	445	2027
180	446	2021
181	448	2014
182	450	2009
183	451	2003
184	453	1997
185	455	1991
186	456	1986
187	458	1980
188	460	1975
189	462	1969
190	463	1964
191	466	1961
192	467	1956
193	469	1950
194	471	1945
195	472	1939
196	474	1934
197	476	1928
198	477	1923
199	479	1917
200	481	1912
201	483	1909
202	484	1903
203	486	1898
204	488	1893
205	490	1888
206	491	1883
207	493	1878
208	494	1873
209	496	1868
210	498	1864
211	500	1859
212	501	1854
213	503	1849
214	505	1844
215	506	1840
216	508	1835
217	510	1831
218	512	1827
219	514	1823
220	516	1818
221	518	1815
222	520	1811
223	521	1807
224	523	1803
225	525	1799
226	527	1795
227	528	1790
228	530	1786
229	532	1781
230	534	1777
231	535	1773
232	537	1769
233	539	1765
234	540	1761
235	542	1757
236	544	1753
237	547	1753
238	549	1749
239	551	1746
240	552	1741
241	554	1737
242	556	1733
243	558	1729
244	560	1725
245	562	1723
246	564	1720
247	565	1716
248	567	1712
249	569	1708
250	571	1704
251	572	1700
252	574	1697
253	576	1693
254	579	1692
255	580	1688
256	582	1685
257	584	1682
258	586	1678
259	588	1675
260	590	1671
261	592	1667
262	594	1664
263	595	1661
264	597	1657
265	599	1654
266	601	1650
267	602	1646
268	604	1642
269	606	1638
270	607	1635
271	609	1631
272	611	1628
273	613	1624
274	614	1621
275	616	1617
276	618	1614
277	620	1610
278	621	1607
279	623	1603
280	626	1601
281	627	1598
282	629	1595
283	631	1591
284	633	1588
285	634	1584
286	636	1581
287	638	1578
288	640	1574
289	642	1571
290	644	1569
291	645	1566
292	647	1563
293	649	1559
294	651	1556
295	653	1553
296	654	1549
297	656	1546
298	658	1544
299	660	1540
300	662	1537
301	663	1534
302	665	1531
303	667	1527
304	669	1524
305	670	1521
306	672	1517
307	674	1515
308	676	1512
309	678	1509
310	679	1506
311	681	1502
312	683	1499
313	684	1496
314	686	1493
315	688	1490
316	690	1488
317	692	1485
318	694	1482
319	695	1478
320	697	1475
321	699	1472
322	701	1469
323	702	1466
324	704	1462
325	706	1460
326	708	1457
327	710	1454
328	712	1452
329	713	1449
330	715	1446
331	717	1443
332	717	1437
333	719	1434
334	721	1432
335	723	1429
336	725	1427
337	727	1424
338	729	1421
339	730	1418
340	732	1415
341	734	1412
342	736	1409
343	737	1407
344	739	1404
345	741	1401
346	743	1398
347	745	1395
348	746	1392
349	748	1389
350	750	1386
351	751	1384
352	753	1381
353	755	1378
354	757	1375
355	758	1372
356	760	1369
357	762	1366
358	763	1364
359	765	1361
360	767	1358
361	769	1355
362	770	1352
363	772	1350
364	774	1347
365	776	1344
366	778	1342
367	780	1340
368	782	1337
369	784	1335
370	786	1333
371	788	1330
372	790	1328
373	791	1325
374	793	1322
375	795	1319
376	797	1317
377	799	1315
378	801	1313
379	803	1311
380	805	1308
381	806	1305
382	808	1302
383	810	1299
384	812	1298
385	814	1295
386	816	1293
387	818	1291
388	820	1288
389	822	1285
390	823	1283
391	825	1280
392	827	1277
393	828	1274
394	830	1271
395	832	1269
396	834	1267
397	836	1264
398	838	1262
399	839	1259
400	841	1256
401	843	1254
402	845	1251
403	846	1249
404	848	1247
405	850	1244
406	852	1241
407	854	1239
408	856	1237
409	857	1234
410	859	1232
411	861	1229
412	863	1226
413	865	1224
414	866	1222
415	868	1219
416	870	1216
417	872	1214
418	874	1211
419	875	1209
420	877	1206
421	879	1204
422	881	1202
423	883	1199
424	884	1197
425	886	1194
426	888	1192
427	890	1189
428	891	1187
429	893	1184
430	895	1181
431	897	1179
432	898	1176
433	900	1174
434	902	1171
435	904	1169
436	905	1167
437	907	1164
438	909	1162
439	911	1159
440	913	1157
441	915	1155
442	916	1152
443	918	1150
444	920	1147
445	921	1145
446	923	1142
447	925	1140
448	927	1137
449	929	1135
450	931	1133
451	932	1131
452	934	1128
453	936	1126
454	938	1123
455	939	1121
456	941	1118
457	943	1116
458	945	1114
459	947	1111
460	948	1109
461	950	1107
462	952	1104
463	954	1102
464	955	1099
465	957	1097
466	959	1095
467	961	1093
468	963	1090
469	965	1088
470	967	1086
471	968	1083
472	970	1081
473	972	1078
474	973	1076
475	976	1074
476	977	1072
477	979	1069
478	981	1067
479	983	1065
480	984	1062
481	986	1060
482	988	1057
483	990	1055
484	992	1053
485	994	1051
486	996	1049
487	997	1046
488	999	1044
489	1001	1042
490	1002	1039
491	1004	1037
492	1006	1034
493	1008	1032
494	1010	1030
495	1011	1028
496	1013	1025
497	1015	1023
498	1016	1021
499	1018	1018
500	1020	1016
501	1022	1013
502	1024	1012
503	1026	1009
504	1028	1007
505	1030	1006
506	1032	1003
507	1034	1001
508	1036	999
509	1038	997
510	1041	996
511	1043	994
512	1045	992
513	1047	990
514	1049	988
515	1051	986
516	1053	983
517	1055	982
518	1057	980
519	1059	977
520	1061	975
521	1063	973
522	1065	971
523	1066	969
524	1068	966
525	1070	964
526	1072	962
527	1074	960
528	1076	958
529	1078	956
530	1080	954
531	1082	952
532	1084	950
533	1086	948
534	1088	946
535	1090	944
536	1092	942
537	1094	939
538	1096	937
539	1097	935
540	1100	933
541	1101	931
542	1105	930
543	1107	928
544	1109	926
545	1111	924
546	1113	922
547	1115	919
548	1117	917
549	1120	916
550	1122	914
551	1125	913
552	1127	911
553	1128	908
554	1130	906
555	1132	904
556	1136	903
557	1138	901
558	1140	899
559	1142	897
560	1143	895
561	1145	892
562	1147	890
563	1148	888
564	1150	886
565	1152	883
566	1154	881
567	1156	879
568	1158	877
569	1159	875
570	1161	872
571	1163	870
572	1165	868
573	1167	866
574	1168	864
575	1170	861
576	1172	859
577	1174	857
578	1176	855
579	1178	853
580	1179	850
581	1181	848
582	1183	846
583	1185	844
584	1186	842
585	1188	839
586	1190	837
587	1192	835
588	1194	833
589	1196	831
590	1198	829
591	1200	827
592	1202	825
593	1203	822
594	1205	820
595	1207	818
596	1209	816
597	1210	814
598	1212	811
599	1214	809
600	1216	807
601	1218	805
602	1220	803
603	1222	801
604	1223	799
605	1225	796
606	1227	794
607	1228	792
608	1230	790
609	1232	788
610	1234	786
611	1236	784
612	1238	781
613	1240	779
614	1241	777
615	1243	775
616	1245	772
617	1247	771
618	1249	769
619	1251	767
620	1253	765
621	1255	762
622	1257	760
623	1258	758
624	1260	756
625	1262	754
626	1264	752
627	1266	750
628	1268	748
629	1270	745
630	1271	743
631	1273	741
632	1275	739
633	1277	737
634	1279	735
635	1281	733
636	1283	731
637	1284	729
638	1286	726
639	1288	724
640	1290	722
641	1292	720
642	1294	718
643	1296	716
644	1297	714
645	1299	712
646	1301	709
647	1302	707
648	1304	705
649	1306	703
650	1308	701
651	1309	699
652	1311	697
653	1313	694
654	1315	692
655	1316	690
656	1318	688
657	1320	686
658	1321	683
659	1323	681
660	1325	679
661	1327	677
662	1329	675
663	1330	673
664	1332	671
665	1334	669
666	1336	667
667	1337	664
668	1339	662
669	1341	660
670	1343	658
671	1345	656
672	1347	654
673	1349	652
674	1351	650
675	1353	648
676	1354	646
677	1356	644
678	1358	642
679	1360	640
680	1362	638
681	1363	635
682	1365	633
683	1367	631
684	1369	629
685	1370	627
686	1372	625
687	1374	623
688	1376	621
689	1378	619
690	1380	617
691	1381	615
692	1383	612
693	1385	610
694	1387	608
695	1388	606
696	1390	604
697	1392	602
698	1394	600
699	1395	598
700	1397	596
701	1399	594
702	1401	592
703	1403	589
704	1404	587
705	1406	585
706	1408	583
707	1410	581
708	1412	579
709	1413	577
710	1415	575
711	1417	573
712	1419	571
713	1420	569
714	1422	567
715	1424	565
716	1426	563
717	1428	560
718	1429	558
719	1431	556
720	1433	554
721	1435	552
722	1436	550
723	1438	548
724	1440	546
725	1442	544
726	1444	542
727	1445	540
728	1447	538
729	1449	536
730	1451	533
731	1452	531
732	1454	529
733	1456	527
734	1458	525
735	1459	523
736	1461	521
737	1463	519
738	1464	517
739	1466	515
740	1468	513
741	1470	511
742	1471	509
743	1473	507
744	1475	504
745	1477	502
746	1478	500
747	1480	498
748	1482	496
749	1483	494
750	1485	492
751	1487	490
752	1489	488
753	1491	486
754	1493	484
755	1494	482
756	1496	480
757	1498	478
758	1499	476
759	1501	474
760	1503	472
761	1505	470
762	1507	468
763	1508	466
764	1510	463
765	1512	461
766	1513	459
767	1515	457
768	1517	455
769	1519	453
770	1521	451
771	1523	449
772	1524	447
773	1526	445
774	1528	443
775	1529	441
776	1531	439
777	1533	437
778	1536	435
779	1537	433
780	1539	431
781	1541	429
782	1543	427
783	1544	425
784	1546	423
785	1548	421
786	1550	419
787	1552	417
788	1554	415
789	1555	413
790	1557	411
791	1559	409
792	1560	407
793	1562	405
794	1564	403
795	1566	401
796	1568	399
797	1570	397
798	1572	395
799	1574	393
800	1576	391
801	1578	389
802	1579	387
803	1581	385
804	1583	383
805	1585	381
806	1587	379
807	1588	377
808	1590	375
809	1592	373
810	1593	371
811	1595	369
812	1597	367
813	1599	365
814	1601	363
815	1602	361
816	1604	359
817	1606	357
818	1607	355
819	1609	353
820	1611	351
821	1613	349
822	1615	347
823	1616	345
824	1618	343
825	1620	341
826	1621	339
827	1623	337
828	1625	335
829	1627	333
830	1629	331
831	1630	329
832	1632	327
833	1634	325
834	1636	323
835	1637	321
836	1639	319
837	1641	317
838	1643	315
839	1645	313
840	1647	311
841	1648	309
842	1650	307
843	1652	305
844	1654	303
845	1655	301
846	1657	299
847	1659	297
848	1661	295
849	1663	293
850	1665	291
851	1666	289
852	1668	287
853	1670	285
854	1672	283
855	1674	281
856	1676	279
857	1678	277
858	1679	275
859	1681	273
860	1683	271
861	1685	269
862	1686	267
863	1688	265
864	1690	263
865	1691	261
866	1693	259
867	1695	257
868	1697	255
869	1698	253
870	1700	251
871	1702	249
872	1704	247
873	1706	245
874	1708	244
875	1710	242
876	1712	240
877	1713	238
878	1715	236
879	1717	234
880	1719	232
881	1720	230
882	1722	228
883	1724	226
884	1726	224
885	1727	222
886	1729	220
887	1731	218
888	1733	216
889	1734	214
890	1736	212
891	1738	210
892	1740	208
893	1742	206
894	1744	204
895	1746	202
896	1747	200
897	1749	198
898	1751	196
899	1753	194
900	1754	192
901	1757	190
902	1758	188
903	1760	186
904	1762	184
905	1764	183
906	1765	181
907	1767	179
908	1769	177
909	1770	175
910	1773	173
911	1775	171
912	1777	169
913	1778	167
914	1780	165
915	1782	163
916	1783	161
917	1785	159
918	1787	157
919	1789	155
920	1791	153
921	1793	151
922	1795	149
923	1796	147
924	1798	145
925	1800	143
926	1802	141
927	1803	139
928	1805	138
929	1807	136
930	1809	134
931	1810	132
932	1812	130
933	1814	128
934	1816	126
935	1818	124
936	1819	122
937	1821	120
938	1823	118
939	1825	116
940	1827	114
941	1828	112
942	1830	110
943	1832	108
944	1833	106
945	1836	104
946	1837	102
947	1839	100
948	1841	98
949	1843	97
950	1844	95
951	1846	93
952	1848	91
953	1849	89
954	1851	87
955	1853	85
956	1855	83
957	1857	81
958	1858	79
959	1860	77
960	1862	75
961	1864	73
962	1866	71
963	1867	69
964	1869	67
965	1871	65
966	1873	63
967	1874	61
968	1876	60
969	1878	58
970	1879	56
971	1881	54
972	1883	52
973	1885	50
974	1887	48
975	1889	46
976	1891	44
977	1892	42
978	1894	40
979	1896	38
980	1898	36
981	1900	34
982	1901	32
983	1903	30
984	1905	29
985	1907	27
986	1908	25
987	1910	23
988	1912	21
989	1914	19
990	1916	17
991	1918	15
992	1919	13
993	1921	11
994	1923	9
995	1924	7
996	1926	5
997	1928	3
998	1930	1
999	1932	0
